1.6867 	WARNING 	Requested audio device 'Digital Audio (S/PDIF)(High Definition Audio Device)' that is not available on this hardware. The 'audioDevice' preference should be one of ['Digital Audio (S/PDIF) (High Definition Audio Device)', 'E2251 (NVIDIA High Definition Audio)', 'Headphones (MDR-XB950B1 Stereo)', 'Headset (MDR-XB950B1 Hands-Free AG Audio)']
10.4430 	EXP 	slider: markerPos = 0.6851851851851853
10.4597 	EXP 	slider: markerPos = 0.6851851851851853
10.4763 	EXP 	slider: markerPos = 0.6851851851851853
10.4944 	EXP 	slider: markerPos = 0.6851851851851853
10.5265 	EXP 	slider: markerPos = 0.6851851851851853
10.5602 	EXP 	slider: markerPos = 0.6851851851851853
10.5776 	EXP 	slider: markerPos = 0.6851851851851853
10.6111 	EXP 	slider: markerPos = 0.6851851851851853
10.6447 	EXP 	slider: markerPos = 0.6851851851851853
10.6778 	EXP 	slider: markerPos = 0.6851851851851853
10.7098 	EXP 	slider: markerPos = 0.6851851851851853
10.7263 	EXP 	slider: markerPos = 0.6851851851851853
10.7445 	EXP 	slider: markerPos = 0.6851851851851853
10.7778 	EXP 	slider: markerPos = 0.6851851851851853
10.8109 	EXP 	slider: markerPos = 0.6851851851851853
10.8445 	EXP 	slider: markerPos = 0.6851851851851853
10.8778 	EXP 	slider: markerPos = 0.6851851851851853
10.9097 	EXP 	slider: markerPos = 0.6851851851851853
10.9263 	EXP 	slider: markerPos = 0.6851851851851853
10.9430 	EXP 	slider: markerPos = 0.6851851851851853
10.9598 	EXP 	slider: markerPos = 0.6851851851851853
10.9764 	EXP 	slider: markerPos = 0.6851851851851853
10.9930 	EXP 	slider: markerPos = 0.6851851851851853
11.0096 	EXP 	slider: markerPos = 0.6851851851851853
11.0263 	EXP 	slider: markerPos = 0.6851851851851853
11.0444 	EXP 	slider: markerPos = 0.6851851851851853
11.0610 	EXP 	slider: markerPos = 0.6851851851851853
11.0944 	EXP 	slider: markerPos = 0.6851851851851853
11.1277 	EXP 	slider: markerPos = 0.6851851851851853
11.1597 	EXP 	slider: markerPos = 0.6851851851851853
11.1779 	EXP 	slider: markerPos = 0.6851851851851853
11.2111 	EXP 	slider: markerPos = 0.6851851851851853
11.2445 	EXP 	slider: markerPos = 0.6851851851851853
11.2778 	EXP 	slider: markerPos = 0.6851851851851853
11.3108 	EXP 	slider: markerPos = 0.6851851851851853
11.3264 	EXP 	slider: markerPos = 0.6851851851851853
11.3430 	EXP 	slider: markerPos = 0.6851851851851853
11.3596 	EXP 	slider: markerPos = 0.6851851851851853
11.3763 	EXP 	slider: markerPos = 0.6913580246913581
11.3930 	EXP 	slider: markerPos = 0.7098765432098764
11.4096 	EXP 	slider: markerPos = 0.7283950617283952
11.4260 	EXP 	slider: markerPos = 0.7530864197530862
11.4430 	EXP 	slider: markerPos = 0.7901234567901233
