Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,System Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,VSenseBatt,VSenseBatt,External ADC A7,External ADC A7,External ADC A6,External ADC A6,External ADC A15,External ADC A15,Internal ADC A13,Internal ADC A13,Pressure,Pressure,Temperature,Temperature,GSR,GSR,GSR Conductance,
RAW,CAL,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,CAL,
no units,mSecs,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,kPa,no units,Celcius*,no units,kOhms,uSiemens,
14855680,113123713.439941,1711746191433.69,12021,-694.072289156627,59655,-120.168674698795,5638,-43.2650602409639,-15617,398.656488549618,-26112,238.427480916031,11263,-171.954198473282,-27643,-40259.5487179487,18953,13884.9816849817,25864,18947.9853479853,50696,37139.9267399267,14856,10883.5164835165,3994.36328125,2.26611243456467,52850,153.462921415624,48392,257.207461842849,3.88791208791209,
14888448,113124713.439941,1711746192433.69,12277,-697.156626506024,59911,-123.253012048193,5126,-37.0963855421687,-15617,429.923664122137,-28160,238.427480916031,16383,-250.12213740458,-27899,-40632.3897435897,23305,17073.2600732601,39176,28700.3663003663,9480,6945.05494505494,15368,11258.6080586081,3994.359375,2.79690626329059,54898,163.763085894523,48136,284.671532846715,3.51282051282051,
14921216,113125713.439941,1711746193433.69,12533,-690.987951807229,59399,-126.33734939759,4102,-24.7590361445783,-15617,480.732824427481,-31488,238.427480916031,18431,-281.389312977099,-27643,-40259.5487179487,23817,17448.3516483516,44808,32826.3736263736,18952,13884.2490842491,15368,11258.6080586081,3994.359375,2.86190000317256,55154,165.048372449227,48392,257.207461842849,3.88791208791209,
14953984,113126713.439941,1711746194433.69,12789,-703.325301204819,60423,-129.421686746988,4614,-30.9277108433735,-15617,367.389312977099,-24064,238.427480916031,10495,-160.229007633588,30725,44748.2051282051,5641,4132.60073260073,25609,18761.1721611722,44296,32451.2820512821,14856,10883.5164835165,3994.359375,2.79690626329059,54898,163.763085894523,48392,257.207461842849,3.88791208791209,
14986752,113127713.439941,1711746195433.69,13557,-709.493975903614,60935,-138.674698795181,5126,-37.0963855421687,-15617,328.30534351145,-21504,238.427480916031,8447,-128.961832061069,30725,44748.2051282051,25353,18573.6263736264,63753,46705.4945054945,14088,10320.8791208791,14857,10884.2490842491,3994.359375,2.06234124904843,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
15019520,113128713.439941,1711746196433.69,12533,-700.240963855422,60167,-126.33734939759,5638,-43.2650602409639,-15617,269.679389312977,-17664,238.427480916031,2047,-31.2519083969466,-27387,-39886.7076923077,55049,40328.9377289377,62216,45579.4871794872,19976,14634.4322344322,15113,11071.7948717949,3994.359375,2.13053168624571,52338,150.882517832861,48136,284.671532846715,3.51282051282051,
15052288,113129713.439941,1711746197433.69,12277,-694.072289156627,59655,-123.253012048193,6406,-52.5180722891566,-15617,265.786259541985,-17409,238.427480916031,-513,7.83206106870229,-31739,-46225.0051282051,21257,15572.8937728938,39944,29263.0036630037,4104,3006.59340659341,14856,10883.5164835165,3994.359375,1.36646367265488,49522,136.645576685202,48392,257.207461842849,3.88791208791209,
15085056,113130713.439941,1711746198433.69,12277,-700.240963855422,60167,-123.253012048193,6662,-55.6024096385542,-15617,359.587786259542,-23553,238.427480916031,-769,11.7404580152672,-30971,-45106.482051282,16393,12009.5238095238,28168,20635.8974358974,48648,35639.5604395604,15112,11071.0622710623,3994.3515625,2.26606997322762,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
15150592,113644713.439941,1711746712433.69,11765,-700.240963855422,60167,-117.084337349398,5126,-37.0963855421687,-15617,461.190839694656,-30208,238.427480916031,10239,-156.320610687023,-27643,-40259.5487179487,22537,16510.6227106227,38408,28137.7289377289,12040,8820.51282051282,14344,10508.4249084249,3994.3515625,2.66596050423696,54386,161.19108498859,48136,284.671532846715,3.51282051282051,
15183360,113645713.439941,1711746713433.69,12533,-703.325301204819,60423,-126.33734939759,5126,-37.0963855421687,-15617,418.198473282443,-27392,238.427480916031,14847,-226.671755725191,-27899,-40632.3897435897,24585,18010.989010989,44808,32826.3736263736,19464,14259.3406593407,14600,10695.9706959707,3994.35546875,2.73158693397867,54642,162.477326662858,48392,257.207461842849,3.88791208791209,
15216128,113646713.439941,1711746714433.69,12789,-706.409638554217,60679,-129.421686746988,4870,-34.0120481927711,-15617,394.748091603053,-25856,238.427480916031,19711,-300.931297709924,-27131,-39513.8666666667,26377,19323.8095238095,53256,39015.3846153846,44040,32263.7362637363,14600,10695.9706959707,3994.35546875,2.53384566221481,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
15248896,113647713.439941,1711746715433.69,13301,-697.156626506024,59911,-135.590361445783,5382,-40.1807228915663,-15617,261.862595419847,-17152,238.427480916031,16639,-254.030534351145,30725,44748.2051282051,6665,4882.78388278388,31753,23262.2710622711,1032,756.043956043956,14345,10509.1575091575,3994.35546875,1.7869455278715,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
15281664,113648713.439941,1711746716433.69,13045,-694.072289156627,59655,-132.506024096386,5638,-43.2650602409639,-15617,265.770992366412,-17408,238.427480916031,13055,-199.312977099237,-25339,-36903.9794871795,50697,37140.6593406593,38920,28512.8205128205,11272,8257.87545787546,14856,10883.5164835165,3994.34375,0.42835728848814,46194,119.700116936837,48392,257.207461842849,3.88791208791209,
15314432,113649713.439941,1711746717433.69,13045,-694.072289156627,59655,-132.506024096386,5894,-46.3493975903614,-15617,340.030534351145,-22272,238.427480916031,12031,-183.679389312977,-29947,-43615.1179487179,31753,23262.2710622711,59400,43516.4835164835,58632,42953.8461538461,13832,10133.3333333333,3994.34375,1.64769677441823,50546,141.832008109172,48392,257.207461842849,3.88791208791209,
15347200,113650713.439941,1711746718433.69,13045,-694.072289156627,59655,-132.506024096386,5894,-46.3493975903614,-15617,422.106870229008,-27648,238.427480916031,6143,-93.7862595419847,-31739,-46225.0051282051,17417,12759.706959707,38408,28137.7289377289,8712,6382.41758241758,13576,9945.78754578755,3994.34375,2.66593195873557,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
15379968,113651713.439941,1711746719433.69,12533,-703.325301204819,60423,-126.33734939759,5638,-43.2650602409639,-15617,453.374045801527,-29696,238.427480916031,2047,-31.2519083969466,-28411,-41378.0717948718,19977,14635.1648351648,36360,26637.3626373626,55304,40515.7509157509,12295,9007.32600732601,3994.36328125,2.60008814368544,54130,159.904350835199,48136,284.671532846715,3.51282051282051,
15445504,114165713.439941,1711747233433.69,11765,-703.325301204819,60423,-117.084337349398,4614,-30.9277108433735,-15617,429.93893129771,-28161,238.427480916031,-1,0.0152671755725191,-27131,-39513.8666666667,25865,18948.7179487179,50952,37327.4725274725,37896,27762.6373626374,13320,9758.24175824176,3994.36328125,3.55511020664718,57970,179.157875241095,48136,284.671532846715,3.51282051282051,
15478272,114166713.439941,1711747234433.69,11253,-709.493975903614,60935,-110.915662650602,5126,-37.0963855421687,-15617,414.290076335878,-27136,238.427480916031,511,-7.80152671755725,31237,45493.8871794872,8201,6008.05860805861,33801,24762.6373626374,53000,38827.8388278388,12039,8819.78021978022,3994.3671875,2.86192866129644,55154,165.048372449227,48392,257.207461842849,3.88791208791209,
15511040,114167713.439941,1711747235433.69,11509,-703.325301204819,60423,-114,4870,-34.0120481927711,-15617,351.75572519084,-23040,238.427480916031,7935,-121.145038167939,-27899,-40632.3897435897,46089,33764.8351648352,27912,20448.3516483516,44296,32451.2820512821,12040,8820.51282051282,3994.3671875,1.85621798716674,51314,145.714599396085,48136,284.671532846715,3.51282051282051,
15543808,114168713.439941,1711747236433.69,12021,-700.240963855422,60167,-120.168674698795,5638,-43.2650602409639,-15617,304.854961832061,-19968,238.427480916031,13823,-211.038167938931,-27899,-40632.3897435897,34569,25325.2747252747,64520,47267.3992673993,53255,39014.652014652,12552,9195.60439560439,3994.3671875,0.501778859505768,46450,121.009157972248,48392,257.207461842849,3.88791208791209,
15576576,114169713.439941,1711747237433.69,12533,-700.240963855422,60167,-126.33734939759,5638,-43.2650602409639,-15617,238.412213740458,-15616,238.427480916031,18175,-277.480916030534,-30971,-45106.482051282,21513,15760.4395604396,22024,16134.7985347985,44552,32638.8278388278,11528,8445.42124542124,3994.35546875,0.207300085710554,45426,115.766644788036,48136,284.671532846715,3.51282051282051,
15609344,114170713.439941,1711747238433.69,13301,-697.156626506024,59911,-135.590361445783,6150,-49.433734939759,-15617,328.30534351145,-21504,238.427480916031,18687,-285.297709923664,-31483,-45852.1641025641,14857,10884.2490842491,17672,12946.5201465201,30472,22323.8095238095,11528,8445.42124542124,3994.35546875,0.501738136621316,46450,121.009157972248,48392,257.207461842849,3.88791208791209,
15642112,114171713.439941,1711747239433.69,13045,-697.156626506024,59911,-132.506024096386,6406,-52.5180722891566,-15617,402.564885496183,-26368,238.427480916031,17919,-273.572519083969,-29435,-42869.4358974359,16649,12197.0695970696,20744,15197.0695970696,35848,26262.2710622711,11272,8257.87545787546,3994.35546875,2.40053777048249,53362,156.041088870443,48136,284.671532846715,3.51282051282051,
15674880,114172713.439941,1711747240433.69,13045,-697.156626506024,59911,-132.506024096386,5638,-43.2650602409639,-15617,457.282442748092,-29952,238.427480916031,14079,-214.946564885496,-27643,-40259.5487179487,20745,15197.8021978022,30984,22698.9010989011,64264,47079.8534798535,11272,8257.87545787546,3994.359375,2.46735120995759,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
15740416,114686713.439941,1711747754433.69,12277,-706.409638554217,60679,-123.253012048193,5126,-37.0963855421687,-15617,472.916030534351,-30976,238.427480916031,255,-3.89312977099237,-27899,-40632.3897435897,21001,15385.347985348,30728,22511.3553113553,63240,46329.6703296703,11016,8070.32967032967,3994.359375,5.01039603762382,64626,212.341655833175,48392,257.207461842849,3.88791208791209,
15773184,114687713.439941,1711747755433.69,12021,-709.493975903614,60935,-120.168674698795,5126,-37.0963855421687,-15617,418.213740458015,-27393,238.427480916031,-4097,62.5496183206107,-27387,-39886.7076923077,24329,17823.4432234432,43272,31701.0989010989,25864,18947.9853479853,11784,8632.96703296703,3994.36328125,3.73681274720899,58738,182.997648740313,48392,257.207461842849,3.88791208791209,
15805952,114688713.439941,1711747756433.69,11253,-703.325301204819,60423,-110.915662650602,5382,-40.1807228915663,-15617,336.137404580153,-22017,238.427480916031,-5121,78.1832061068702,-27643,-40259.5487179487,24329,17823.4432234432,48392,35452.0146520147,33032,24199.2673992674,12296,9008.05860805861,3994.36328125,2.53387413026117,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
15838720,114689713.439941,1711747757433.69,11253,-697.156626506024,59911,-110.915662650602,5382,-40.1807228915663,-15617,312.671755725191,-20480,238.427480916031,767,-11.7099236641221,-30971,-45106.482051282,17673,12947.2527472527,35592,26074.7252747253,60168,44079.1208791209,12039,8819.78021978022,3994.36328125,2.60008814368544,54130,159.904350835199,48392,257.207461842849,3.88791208791209,
15871488,114690713.439941,1711747758433.69,11765,-694.072289156627,59655,-117.084337349398,5382,-40.1807228915663,-15617,367.389312977099,-24064,238.427480916031,9983,-152.412213740458,-31995,-46597.8461538461,12297,9008.79120879121,16392,12008.7912087912,13320,9758.24175824176,12552,9195.60439560439,3994.3515625,0.647847454779057,46962,123.624229429908,48392,257.207461842849,3.88791208791209,
15904256,114691713.439941,1711747759433.69,12533,-700.240963855422,60167,-126.33734939759,5382,-40.1807228915663,-15617,328.30534351145,-21504,238.427480916031,18431,-281.389312977099,-27643,-40259.5487179487,18441,13509.8901098901,23304,17072.5274725275,39432,28887.9120879121,12552,9195.60439560439,3994.3515625,1.08151740856997,48498,131.447132656106,48392,257.207461842849,3.88791208791209,
15937024,114692713.439941,1711747760433.69,12533,-703.325301204819,60423,-126.33734939759,4870,-34.0120481927711,-15617,371.297709923664,-24320,238.427480916031,27903,-426,-27899,-40632.3897435897,23049,16885.7142857143,36616,26824.9084249084,65032,47642.4908424908,13063,9569.96336996337,3994.3515625,2.06231306663226,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
15969792,114693713.439941,1711747761433.69,13045,-703.325301204819,60423,-132.506024096386,5382,-40.1807228915663,-15617,375.206106870229,-24576,238.427480916031,23039,-351.740458015267,-31483,-45852.1641025641,15113,11071.7948717949,25352,18572.8937728938,41224,30200.7326007326,12808,9383.15018315018,3994.359375,2.66598904973842,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
16002560,114694713.439941,1711747762433.69,13301,-703.325301204819,60423,-135.590361445783,5382,-40.1807228915663,-15617,332.213740458015,-21760,238.427480916031,14847,-226.671755725191,31237,45493.8871794872,3337,2444.68864468864,12041,8821.24542124542,13320,9758.24175824176,12296,9008.05860805861,3994.359375,1.50757701092152,50034,139.240223699633,48136,284.671532846715,3.51282051282051,
16035328,114695713.439941,1711747763433.69,13045,-706.409638554217,60679,-132.506024096386,5638,-43.2650602409639,-15617,359.572519083969,-23552,238.427480916031,7679,-117.236641221374,-27643,-40259.5487179487,42761,31326.7399267399,12552,9195.60439560439,7176,5257.14285714286,12552,9195.60439560439,3994.359375,2.33346628442219,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
16100864,115209713.439941,1711748277433.69,12277,-700.240963855422,60167,-123.253012048193,5638,-43.2650602409639,-15617,351.770992366412,-23041,238.427480916031,-2049,31.2824427480916,-31739,-46225.0051282051,17929,13134.7985347985,11784,8632.96703296703,6920,5069.59706959707,12808,9383.15018315018,3994.35546875,3.24507763819126,56690,172.750680519605,48392,257.207461842849,3.88791208791209,
16133632,115210713.439941,1711748278433.69,12277,-697.156626506024,59911,-123.253012048193,5894,-46.3493975903614,-15617,418.198473282443,-27392,238.427480916031,511,-7.80152671755725,-31483,-45852.1641025641,13065,9571.42857142857,10248,7507.69230769231,62216,45579.4871794872,12807,9382.41758241758,3994.35546875,3.37012927954345,57202,175.314737869875,48136,284.671532846715,3.51282051282051,
16166400,115211713.439941,1711748279433.69,12021,-697.156626506024,59911,-120.168674698795,5382,-40.1807228915663,-15617,457.282442748092,-29952,238.427480916031,2815,-42.9770992366412,-29691,-43242.2769230769,14089,10321.6117216117,12296,9008.05860805861,776,568.498168498168,13832,10133.3333333333,3994.359375,3.11867872669048,56178,170.184978228763,48392,257.207461842849,3.88791208791209,
16199168,115212713.439941,1711748280433.69,12021,-703.325301204819,60423,-120.168674698795,5126,-37.0963855421687,-15617,379.114503816794,-24832,238.427480916031,12543,-191.496183206107,-27899,-40632.3897435897,21001,15385.347985348,27656,20260.8058608059,45576,33389.010989011,12552,9195.60439560439,3994.359375,2.33346628442219,53106,154.752278678203,48136,284.671532846715,3.51282051282051,
16231936,115213713.439941,1711748281433.69,12277,-700.240963855422,60167,-123.253012048193,5126,-37.0963855421687,-15617,398.656488549618,-26112,238.427480916031,14847,-226.671755725191,-27899,-40632.3897435897,24329,17823.4432234432,41992,30763.36996337,15880,11633.6996336996,12808,9383.15018315018,3994.359375,1.85618993388467,51314,145.714599396085,48392,257.207461842849,3.88791208791209,
