Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,System Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,VSenseBatt,VSenseBatt,External ADC A7,External ADC A7,External ADC A6,External ADC A6,External ADC A15,External ADC A15,Internal ADC A13,Internal ADC A13,Pressure,Pressure,Temperature,Temperature,GSR,GSR,GSR Conductance,
RAW,CAL,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,CAL,
no units,mSecs,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,kPa,no units,Celcius*,no units,kOhms,uSiemens,
7745024,147722713.439941,1711780790433.69,12535,-703.325301204819,60423,-126.361445783133,5638,-43.2650602409639,-15617,371.297709923664,-24320,238.427480916031,10751,-164.137404580153,-31739,-46225.0051282051,15369,11259.3406593407,26120,19135.5311355311,44808,32826.3736263736,11272,8257.87545787546,6298.34375,10.2142606291713,51570,147.007501031486,48136,284.671532846715,3.51282051282051,
7777792,147723713.439941,1711780791433.69,12535,-703.325301204819,60423,-126.361445783133,5894,-46.3493975903614,-15617,375.206106870229,-24576,238.427480916031,11775,-179.770992366412,-29947,-43615.1179487179,16393,12009.5238095238,22536,16509.8901098901,42504,31138.4615384615,11016,8070.32967032967,6298.3515625,11.164380279345,54642,162.477326662858,48392,257.207461842849,3.88791208791209,
7810560,147724713.439941,1711780792433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,375.206106870229,-24576,238.427480916031,8191,-125.053435114504,-29947,-43615.1179487179,16649,12197.0695970696,22792,16697.4358974359,44296,32451.2820512821,11272,8257.87545787546,6298.3515625,11.6157924685344,56178,170.184978228763,48136,284.671532846715,3.51282051282051,
7843328,147725713.439941,1711780793433.69,12535,-703.325301204819,60423,-126.361445783133,5126,-37.0963855421687,-15617,418.198473282443,-27392,238.427480916031,11007,-168.045801526718,-27643,-40259.5487179487,20745,15197.8021978022,31752,23261.5384615385,1288,943.589743589744,10505,7695.9706959707,6298.3515625,11.164380279345,54642,162.477326662858,48136,284.671532846715,3.51282051282051,
7876096,147726713.439941,1711780794433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,371.297709923664,-24320,238.427480916031,10495,-160.229007633588,-27387,-39886.7076923077,24329,17823.4432234432,43784,32076.1904761905,29448,21573.6263736264,11528,8445.42124542124,6298.33984375,11.2407221944362,54898,163.763085894523,48136,284.671532846715,3.51282051282051,
7908864,147727713.439941,1711780795433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,351.75572519084,-23040,238.427480916031,12031,-183.679389312977,-28155,-41005.2307692308,23817,17448.3516483516,46600,34139.1941391941,27912,20448.3516483516,11784,8632.96703296703,6298.33984375,10.8543705081637,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
7941632,147728713.439941,1711780796433.69,12279,-700.240963855422,60167,-123.277108433735,5638,-43.2650602409639,-15617,371.297709923664,-24320,238.427480916031,10495,-160.229007633588,-27899,-40632.3897435897,25353,18573.6263736264,51976,38077.6556776557,45064,33013.9194139194,11272,8257.87545787546,6298.33984375,9.29414988508764,48754,132.747933829529,48392,257.207461842849,3.88791208791209,
7974400,147729713.439941,1711780797433.69,12535,-697.156626506024,59911,-126.361445783133,5638,-43.2650602409639,-15617,386.931297709924,-25344,238.427480916031,8703,-132.870229007634,-29947,-43615.1179487179,20745,15197.8021978022,43784,32076.1904761905,24072,17635.1648351648,10760,7882.78388278388,6298.33984375,11.3921277487926,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
8007168,147730713.439941,1711780798433.69,12791,-700.240963855422,60167,-129.44578313253,5382,-40.1807228915663,-15617,383.022900763359,-25088,238.427480916031,6911,-105.511450381679,-32251,-46970.6871794872,11785,8633.69963369963,19464,14259.3406593407,29192,21386.0805860806,9736,7132.60073260073,6298.33984375,10.7757974819137,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
8039936,147731713.439941,1711780799433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,398.656488549618,-26112,238.427480916031,8447,-128.961832061069,-29691,-43242.2769230769,13321,9758.97435897436,12296,9008.05860805861,8968,6569.96336996337,9992,7320.14652014652,6298.33984375,10.1324372184469,51314,145.714599396085,48136,284.671532846715,3.51282051282051,
8072704,147732713.439941,1711780800433.69,12279,-700.240963855422,60167,-123.277108433735,5638,-43.2650602409639,-15617,347.847328244275,-22784,238.427480916031,12543,-191.496183206107,-29435,-42869.4358974359,15881,11634.4322344322,16392,12008.7912087912,16648,12196.336996337,10504,7695.23809523809,6298.34765625,10.6968305218615,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
8105472,147733713.439941,1711780801433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,359.572519083969,-23552,238.427480916031,7935,-121.145038167939,-27899,-40632.3897435897,21769,15947.9853479853,31240,22886.4468864469,59656,43704.0293040293,10504,7695.23809523809,6298.34765625,11.541709238974,55922,168.901489832884,48136,284.671532846715,3.51282051282051,
8138240,147734713.439941,1711780802433.69,12279,-703.325301204819,60423,-123.277108433735,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,7935,-121.145038167939,-27643,-40259.5487179487,23305,17073.2600732601,41480,30388.2783882784,18696,13696.7032967033,11272,8257.87545787546,6298.34765625,11.3166827045397,55154,165.048372449227,48392,257.207461842849,3.88791208791209,
8171008,147735713.439941,1711780803433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,375.206106870229,-24576,238.427480916031,6655,-101.603053435115,30469,44375.3641025641,6921,5070.32967032967,28425,20824.1758241758,54280,39765.5677655678,9736,7132.60073260073,6298.34375,9.71777500356587,50034,139.240223699633,48136,284.671532846715,3.51282051282051,
8203776,147736713.439941,1711780804433.69,12791,-700.240963855422,60167,-129.44578313253,5382,-40.1807228915663,-15617,340.030534351145,-22272,238.427480916031,7423,-113.328244274809,-27387,-39886.7076923077,45833,33577.2893772894,27144,19885.7142857143,58376,42766.3003663004,9992,7320.14652014652,6298.34375,11.2407365157937,54898,163.763085894523,48392,257.207461842849,3.88791208791209,
8269312,148250713.439941,1711781318433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,8703,-132.870229007634,-31995,-46597.8461538461,16905,12384.6153846154,33288,24386.8131868132,52744,38640.293040293,10503,7694.50549450549,6298.34375,10.5375791128158,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
8302080,148251713.439941,1711781319433.69,12535,-703.325301204819,60423,-126.361445783133,5638,-43.2650602409639,-15617,390.839694656489,-25600,238.427480916031,10495,-160.229007633588,-27899,-40632.3897435897,21769,15947.9853479853,38408,28137.7289377289,56584,41453.4798534799,11527,8444.68864468864,6298.34375,12.1906642169967,58226,180.438164172323,48136,284.671532846715,3.51282051282051,
8334848,148252713.439941,1711781320433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,437.740458015267,-28672,238.427480916031,9471,-144.595419847328,-27643,-40259.5487179487,23049,16885.7142857143,42760,31326.0073260073,7688,5632.23443223443,11272,8257.87545787546,6298.34375,10.7758116869273,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
8367616,148253713.439941,1711781321433.69,12279,-700.240963855422,60167,-123.277108433735,5382,-40.1807228915663,-15617,375.206106870229,-24576,238.427480916031,8703,-132.870229007634,-28155,-41005.2307692308,23049,16885.7142857143,44552,32638.8278388278,15880,11633.6996336996,10760,7882.78388278388,6298.34375,10.1324512554909,51314,145.714599396085,48136,284.671532846715,3.51282051282051,
8400384,148254713.439941,1711781322433.69,12535,-703.325301204819,60423,-126.361445783133,5382,-40.1807228915663,-15617,390.839694656489,-25600,238.427480916031,8703,-132.870229007634,30725,44748.2051282051,5385,3945.05494505494,25097,18386.0805860806,43016,31513.5531135531,9992,7320.14652014652,6298.34375,10.5375791128158,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
8433152,148255713.439941,1711781323433.69,12535,-706.409638554217,60679,-126.361445783133,5638,-43.2650602409639,-15617,300.946564885496,-19712,238.427480916031,7167,-109.419847328244,-29947,-43615.1179487179,39689,29076.1904761905,10248,7507.69230769231,5640,4131.86813186813,9736,7132.60073260073,6298.34375,11.5416948448398,55922,168.901489832884,48392,257.207461842849,3.88791208791209,
8465920,148256713.439941,1711781324433.69,12023,-700.240963855422,60167,-120.192771084337,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,4863,-74.2442748091603,-27899,-40632.3897435897,31753,23262.2710622711,47368,34701.8315018315,24840,18197.8021978022,10760,7882.78388278388,6298.34765625,10.5375932565233,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
8498688,148257713.439941,1711781325433.69,12023,-700.240963855422,60167,-120.192771084337,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,13823,-211.038167938931,-30203,-43987.958974359,22281,16323.0769230769,45832,33576.5567765568,25608,18760.4395604396,10504,7695.23809523809,6298.34765625,10.6174179468999,52850,153.462921415624,48392,257.207461842849,3.88791208791209,
8531456,148258713.439941,1711781326433.69,12791,-700.240963855422,60167,-129.44578313253,5638,-43.2650602409639,-15617,375.206106870229,-24576,238.427480916031,11519,-175.862595419847,-31227,-45479.3230769231,15113,11071.7948717949,29448,21573.6263736264,58632,42953.8461538461,10504,7695.23809523809,6298.34765625,10.6968305218615,53106,154.752278678203,48136,284.671532846715,3.51282051282051,
8564224,148259713.439941,1711781327433.69,12791,-700.240963855422,60167,-129.44578313253,5638,-43.2650602409639,-15617,343.93893129771,-22528,238.427480916031,9471,-144.595419847328,-27387,-39886.7076923077,21513,15760.4395604396,35080,25699.6336996337,63752,46704.7619047619,10503,7694.50549450549,6298.34375,10.7758116869273,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
8596992,148260713.439941,1711781328433.69,12791,-703.325301204819,60423,-129.44578313253,5382,-40.1807228915663,-15617,371.297709923664,-24320,238.427480916031,8959,-136.778625954198,-29691,-43242.2769230769,17929,13134.7985347985,30472,22323.8095238095,54536,39953.1135531136,9992,7320.14652014652,6298.34375,10.696816337055,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
8629760,148261713.439941,1711781329433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,8703,-132.870229007634,-27387,-39886.7076923077,23049,16885.7142857143,39432,28887.9120879121,11016,8070.32967032967,9480,6945.05494505494,6298.34375,10.2142606291713,51570,147.007501031486,48392,257.207461842849,3.88791208791209,
8662528,148262713.439941,1711781330433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,386.931297709924,-25344,238.427480916031,8191,-125.053435114504,-30203,-43987.958974359,18185,13322.3443223443,34056,24949.4505494505,48904,35827.1062271062,9991,7319.41391941392,6298.33984375,10.6173896181587,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
8695296,148263713.439941,1711781331433.69,12279,-703.325301204819,60423,-123.277108433735,5638,-43.2650602409639,-15617,343.93893129771,-22528,238.427480916031,7167,-109.419847328244,-27643,-40259.5487179487,21257,15572.8937728938,38408,28137.7289377289,55816,40890.8424908425,9735,7131.86813186813,6298.33984375,11.3921277487926,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
8728064,148264713.439941,1711781332433.69,12279,-700.240963855422,60167,-123.277108433735,5638,-43.2650602409639,-15617,394.748091603053,-25856,238.427480916031,5631,-85.969465648855,-28155,-41005.2307692308,22281,16323.0769230769,42248,30950.9157509157,4616,3381.68498168498,10248,7507.69230769231,6298.33984375,9.88473767621491,50546,141.832008109172,48136,284.671532846715,3.51282051282051,
8793600,148778713.439941,1711781846433.69,12535,-697.156626506024,59911,-126.361445783133,5382,-40.1807228915663,-15617,390.839694656489,-25600,238.427480916031,7679,-117.236641221374,-31483,-45852.1641025641,13321,9758.97435897436,19208,14071.7948717949,22280,16322.3443223443,10248,7507.69230769231,6298.34375,10.932530369119,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
8826368,148779713.439941,1711781847433.69,12791,-703.325301204819,60423,-129.44578313253,5382,-40.1807228915663,-15617,379.114503816794,-24832,238.427480916031,13823,-211.038167938931,-27899,-40632.3897435897,20489,15010.2564102564,28680,21010.989010989,53256,39015.3846153846,10760,7882.78388278388,6298.34375,11.7624606944577,56690,172.750680519605,48136,284.671532846715,3.51282051282051,
8859136,148780713.439941,1711781848433.69,12535,-697.156626506024,59911,-126.361445783133,5382,-40.1807228915663,-15617,343.93893129771,-22528,238.427480916031,9471,-144.595419847328,-29691,-43242.2769230769,17417,12759.706959707,25864,18947.9853479853,55048,40328.2051282051,10760,7882.78388278388,6298.33984375,10.3766996247467,52082,149.591446711184,48136,284.671532846715,3.51282051282051,
8891904,148781713.439941,1711781849433.69,12279,-700.240963855422,60167,-123.277108433735,5382,-40.1807228915663,-15617,359.572519083969,-23552,238.427480916031,11007,-168.045801526718,-27643,-40259.5487179487,21001,15385.347985348,33288,24386.8131868132,56584,41453.4798534799,11271,8257.14285714286,6298.33984375,10.7757974819137,53362,156.041088870443,48392,257.207461842849,3.88791208791209,
8924672,148782713.439941,1711781850433.69,12535,-697.156626506024,59911,-126.361445783133,5382,-40.1807228915663,-15617,347.847328244275,-22784,238.427480916031,13311,-203.221374045802,-27643,-40259.5487179487,22793,16698.1684981685,40456,29638.0952380952,64520,47267.3992673993,11527,8444.68864468864,6298.33984375,10.8543705081637,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
8957440,148783713.439941,1711781851433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,355.664122137405,-23296,238.427480916031,8703,-132.870229007634,-27387,-39886.7076923077,25097,18386.0805860806,47624,34889.3772893773,23560,17260.0732600733,13064,9570.69597069597,6298.3359375,10.2956549628604,51826,148.2997788902,48392,257.207461842849,3.88791208791209,
8990208,148784713.439941,1711781852433.69,12535,-697.156626506024,59911,-126.361445783133,5638,-43.2650602409639,-15617,390.839694656489,-25600,238.427480916031,7167,-109.419847328244,-27899,-40632.3897435897,25865,18948.7179487179,52488,38452.7472527472,44296,32451.2820512821,12296,9008.05860805861,6298.3359375,10.0502319632618,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
9022976,148785713.439941,1711781853433.69,12535,-697.156626506024,59911,-126.361445783133,5382,-40.1807228915663,-15617,394.748091603053,-25856,238.427480916031,6399,-97.6946564885496,-29947,-43615.1179487179,21001,15385.347985348,44296,32451.2820512821,24584,18010.2564102564,11272,8257.87545787546,6298.3359375,10.696787967442,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
9055744,148786713.439941,1711781854433.69,12279,-700.240963855422,60167,-123.277108433735,5638,-43.2650602409639,-15617,371.297709923664,-24320,238.427480916031,9215,-140.687022900763,-31483,-45852.1641025641,14089,10321.6117216117,26376,19323.0769230769,50440,36952.3809523809,11528,8445.42124542124,6298.3359375,11.5416660565715,55922,168.901489832884,48648,234.57638769548,4.26300366300366,
9088512,148787713.439941,1711781855433.69,12279,-706.409638554217,60679,-123.277108433735,5638,-43.2650602409639,-15617,398.656488549618,-26112,238.427480916031,8703,-132.870229007634,-27643,-40259.5487179487,19465,14260.0732600733,29448,21573.6263736264,64776,47454.945054945,11272,8257.87545787546,6298.3359375,10.5375508254009,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
9121280,148788713.439941,1711781856433.69,12279,-700.240963855422,60167,-123.277108433735,5382,-40.1807228915663,-15617,414.290076335878,-27136,238.427480916031,7167,-109.419847328244,-29691,-43242.2769230769,16905,12384.6153846154,25864,18947.9853479853,57864,42391.2087912088,12296,9008.05860805861,6298.3359375,11.5416660565715,55922,168.901489832884,48392,257.207461842849,3.88791208791209,
9154048,148789713.439941,1711781857433.69,12535,-697.156626506024,59911,-126.361445783133,5382,-40.1807228915663,-15617,398.656488549618,-26112,238.427480916031,8447,-128.961832061069,-27387,-39886.7076923077,22537,16510.6227106227,35848,26262.2710622711,64776,47454.945054945,12039,8819.78021978022,6810.3359375,12.5561736185347,53106,154.752278678203,48136,284.671532846715,3.51282051282051,
9186816,148790713.439941,1711781858433.69,12535,-703.325301204819,60423,-126.361445783133,5382,-40.1807228915663,-15617,414.290076335878,-27136,238.427480916031,8703,-132.870229007634,-27643,-40259.5487179487,23561,17260.8058608059,41736,30575.8241758242,6408,4694.50549450549,11784,8632.96703296703,6810.3359375,12.8800145257472,54130,159.904350835199,48392,257.207461842849,3.88791208791209,
9219584,148791713.439941,1711781859433.69,12535,-697.156626506024,59911,-126.361445783133,5126,-37.0963855421687,-15617,355.664122137405,-23296,238.427480916031,5887,-89.8778625954198,-27387,-39886.7076923077,25353,18573.6263736264,49928,36577.2893772894,34056,24949.4505494505,12040,8820.51282051282,6810.3359375,13.3516139638558,55666,167.617565290017,48136,284.671532846715,3.51282051282051,
9252352,148792713.439941,1711781860433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,375.206106870229,-24576,238.427480916031,11007,-168.045801526718,-27643,-40259.5487179487,24585,18010.989010989,49672,36389.7435897436,38408,28137.7289377289,12296,9008.05860805861,6810.33984375,11.8873780925122,51058,144.421059829358,48392,257.207461842849,3.88791208791209,
9285120,148793713.439941,1711781861433.69,12535,-700.240963855422,60167,-126.361445783133,5894,-46.3493975903614,-15617,367.389312977099,-24064,238.427480916031,9983,-152.412213740458,-30203,-43987.958974359,18697,13697.4358974359,38408,28137.7289377289,3848,2819.04761904762,11016,8070.32967032967,6810.33984375,12.391562799688,52594,152.173005207607,48136,284.671532846715,3.51282051282051,
9350656,149307713.439941,1711782375433.69,12791,-700.240963855422,60167,-129.44578313253,5638,-43.2650602409639,-15617,375.206106870229,-24576,238.427480916031,8703,-132.870229007634,-30203,-43987.958974359,14345,10509.1575091575,17672,12946.5201465201,30728,22511.3553113553,11016,8070.32967032967,6810.34375,13.3516427213168,55666,167.617565290017,48136,284.671532846715,3.51282051282051,
9383424,149308713.439941,1711782376433.69,12279,-703.325301204819,60423,-123.277108433735,5382,-40.1807228915663,-15617,429.923664122137,-28160,238.427480916031,11007,-168.045801526718,-31995,-46597.8461538461,10761,7883.51648351648,6152,4506.95970695971,54792,40140.6593406593,9735,7131.86813186813,6810.34375,12.1413781043868,51826,148.2997788902,48392,257.207461842849,3.88791208791209,
9416192,149309713.439941,1711782377433.69,12279,-703.325301204819,60423,-123.277108433735,5894,-46.3493975903614,-15617,371.297709923664,-24320,238.427480916031,7935,-121.145038167939,-30203,-43987.958974359,12553,9196.336996337,5896,4319.41391941392,46344,33951.6483516483,9735,7131.86813186813,6810.34375,13.3516427213168,55666,167.617565290017,48392,257.207461842849,3.88791208791209,
9448960,149310713.439941,1711782378433.69,12279,-697.156626506024,59911,-123.277108433735,5382,-40.1807228915663,-15617,410.381679389313,-26880,238.427480916031,6911,-105.511450381679,-27643,-40259.5487179487,18953,13884.9816849817,20744,15197.0695970696,23816,17447.619047619,8712,6382.41758241758,6810.33984375,13.5048812410465,56178,170.184978228763,48392,257.207461842849,3.88791208791209,
9481728,149311713.439941,1711782379433.69,12279,-700.240963855422,60167,-123.277108433735,5382,-40.1807228915663,-15617,398.656488549618,-26112,238.427480916031,8447,-128.961832061069,-28155,-41005.2307692308,21513,15760.4395604396,31496,23073.9926739927,63496,46517.2161172161,8712,6382.41758241758,6810.33984375,12.8800287923793,54130,159.904350835199,48392,257.207461842849,3.88791208791209,
9547264,149825713.439941,1711782893433.69,12023,-697.156626506024,59911,-120.192771084337,5382,-40.1807228915663,-15617,367.389312977099,-24064,238.427480916031,10495,-160.229007633588,-29691,-43242.2769230769,38153,27950.9157509157,2568,1881.31868131868,45320,33201.4652014652,7687,5631.50183150183,6810.3515625,12.7998007227442,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
9612800,150339713.439941,1711783407433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,383.022900763359,-25088,238.427480916031,12031,-183.679389312977,-27643,-40259.5487179487,23049,16885.7142857143,36360,26637.3626373626,60168,44079.1208791209,6663,4881.31868131868,6810.3515625,12.0571580376477,51570,147.007501031486,48392,257.207461842849,3.88791208791209,
9645568,150340713.439941,1711783408433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,13567,-207.129770992366,-31739,-46225.0051282051,13577,9946.52014652015,20744,15197.0695970696,27144,19885.7142857143,6664,4882.05128205128,6810.34375,12.6378463676443,53362,156.041088870443,48136,284.671532846715,3.51282051282051,
9678336,150341713.439941,1711783409433.69,12791,-703.325301204819,60423,-129.44578313253,5126,-37.0963855421687,-15617,379.114503816794,-24832,238.427480916031,7679,-117.236641221374,-31483,-45852.1641025641,10761,7883.51648351648,7432,5444.68864468864,59400,43516.4835164835,6151,4506.22710622711,6810.34375,12.7997722285141,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
9711104,150342713.439941,1711783410433.69,12535,-700.240963855422,60167,-126.361445783133,5382,-40.1807228915663,-15617,406.473282442748,-26624,238.427480916031,10495,-160.229007633588,-27643,-40259.5487179487,17929,13134.7985347985,19208,14071.7948717949,23816,17447.619047619,6408,4694.50549450549,6810.34375,12.1413781043868,51826,148.2997788902,48136,284.671532846715,3.51282051282051,
9743872,150343713.439941,1711783411433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,363.480916030534,-23808,238.427480916031,6143,-93.7862595419847,-27643,-40259.5487179487,21513,15760.4395604396,30728,22511.3553113553,58888,43141.3919413919,5896,4319.41391941392,6810.3359375,13.580729327481,56434,171.468039018049,48392,257.207461842849,3.88791208791209,
9776640,150344713.439941,1711783412433.69,12279,-703.325301204819,60423,-123.277108433735,5382,-40.1807228915663,-15617,390.839694656489,-25600,238.427480916031,9727,-148.503816793893,-27899,-40632.3897435897,24329,17823.4432234432,43272,31701.0989010989,24840,18197.8021978022,5640,4131.86813186813,6810.3359375,12.3085786319616,52338,150.882517832861,48136,284.671532846715,3.51282051282051,
9842176,150858713.439941,1711783926433.69,12023,-703.325301204819,60423,-120.192771084337,5638,-43.2650602409639,-15617,383.022900763359,-25088,238.427480916031,8703,-132.870229007634,-31995,-46597.8461538461,12297,9008.79120879121,15880,11633.6996336996,10760,7882.78388278388,6408,4694.50549450549,6810.34375,13.8052268241855,57202,175.314737869875,48136,284.671532846715,3.51282051282051,
9874944,150859713.439941,1711783927433.69,12023,-703.325301204819,60423,-120.192771084337,5638,-43.2650602409639,-15617,386.931297709924,-25344,238.427480916031,5375,-82.0610687022901,-28667,-41750.9128205128,16137,11821.978021978,19720,14446.8864468864,27912,20448.3516483516,6664,4882.05128205128,6810.34375,12.3915769457423,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
9907712,150860713.439941,1711783928433.69,12535,-700.240963855422,60167,-126.361445783133,5126,-37.0963855421687,-15617,379.114503816794,-24832,238.427480916031,14591,-222.763358778626,-31739,-46225.0051282051,10505,7695.9706959707,6408,4694.50549450549,56328,41265.9340659341,7431,5443.95604395604,6810.34375,12.7190382213252,53618,157.329363533413,48136,284.671532846715,3.51282051282051,
9940480,150861713.439941,1711783929433.69,12535,-697.156626506024,59911,-126.361445783133,5894,-46.3493975903614,-15617,340.030534351145,-22272,238.427480916031,8959,-136.778625954198,-31995,-46597.8461538461,9225,6758.24175824176,62216,45579.4871794872,36615,26824.1758241758,6408,4694.50549450549,6810.34375,12.7190382213252,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
9973248,150862713.439941,1711783930433.69,12791,-694.072289156627,59655,-129.44578313253,5638,-43.2650602409639,-15617,410.381679389313,-26880,238.427480916031,9215,-140.687022900763,-27643,-40259.5487179487,17417,12759.706959707,12808,9383.15018315018,13064,9570.69597069597,7176,5257.14285714286,6810.34375,12.8800430590113,54130,159.904350835199,48136,284.671532846715,3.51282051282051,
10006016,150863713.439941,1711783931433.69,12535,-703.325301204819,60423,-126.361445783133,5638,-43.2650602409639,-15617,414.290076335878,-27136,238.427480916031,10239,-156.320610687023,-26619,-38768.1846153846,23817,17448.3516483516,33800,24761.9047619048,47112,34514.2857142857,8199,6006.59340659341,6810.34375,12.3086068822793,52338,150.882517832861,48392,257.207461842849,3.88791208791209,
10038784,150864713.439941,1711783932433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,394.748091603053,-25856,238.427480916031,6655,-101.603053435115,-27643,-40259.5487179487,24073,17635.8974358974,42760,31326.0073260073,5384,3944.32234432234,8456,6194.87179487179,6810.3359375,12.8800145257472,54130,159.904350835199,48392,257.207461842849,3.88791208791209,
10071552,150865713.439941,1711783933433.69,12535,-694.072289156627,59655,-126.361445783133,5894,-46.3493975903614,-15617,371.297709923664,-24320,238.427480916031,5887,-89.8778625954198,-30459,-44360.8,18441,13509.8901098901,33800,24761.9047619048,45064,33013.9194139194,9223,6756.77655677656,6810.3359375,13.2742341902113,55410,166.333195830808,48392,257.207461842849,3.88791208791209,
10104320,150866713.439941,1711783934433.69,12535,-697.156626506024,59911,-126.361445783133,5638,-43.2650602409639,-15617,379.114503816794,-24832,238.427480916031,4351,-66.4274809160305,-31227,-45479.3230769231,13321,9758.97435897436,18184,13321.6117216117,17416,12758.9743589744,9224,6757.50915750916,6810.3359375,12.7997437342842,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
10137088,150867713.439941,1711783935433.69,12279,-700.240963855422,60167,-123.277108433735,5382,-40.1807228915663,-15617,406.473282442748,-26624,238.427480916031,9215,-140.687022900763,-27643,-40259.5487179487,18953,13884.9816849817,25864,18947.9853479853,45832,33576.5567765568,8968,6569.96336996337,6810.33984375,12.1413640216886,51826,148.2997788902,48136,284.671532846715,3.51282051282051,
10169856,150868713.439941,1711783936433.69,12279,-700.240963855422,60167,-123.277108433735,5638,-43.2650602409639,-15617,383.022900763359,-25088,238.427480916031,9727,-148.503816793893,-29947,-43615.1179487179,18185,13322.3443223443,28424,20823.4432234432,60936,44641.7582417582,8200,6007.32600732601,6810.33984375,13.6560899518082,56690,172.750680519605,48392,257.207461842849,3.88791208791209,
10202624,150869713.439941,1711783937433.69,12535,-700.240963855422,60167,-126.361445783133,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,10495,-160.229007633588,-28155,-41005.2307692308,21001,15385.347985348,34568,25324.5421245421,63752,46704.7619047619,8199,6006.59340659341,6810.33984375,12.2251914073747,52082,149.591446711184,48136,284.671532846715,3.51282051282051,
10235392,150870713.439941,1711783938433.69,12535,-697.156626506024,59911,-126.361445783133,5638,-43.2650602409639,-15617,367.389312977099,-24064,238.427480916031,11519,-175.862595419847,-27387,-39886.7076923077,24329,17823.4432234432,44808,32826.3736263736,16136,11821.2454212454,8712,6382.41758241758,6810.34765625,12.8800573256434,54130,159.904350835199,48136,284.671532846715,3.51282051282051,
